Date,Price,Open,High,Low,Vol.,Change %
06/01/2001,271.3,266.80,279.80,265.50,437.15K,1.65%
07/01/2001,269.2,271.50,272.10,264.80,433.88K,-0.77%
08/01/2001,276.5,269.20,283.80,268.40,509.51K,2.71%
09/01/2001,294.0,276.10,300.00,272.70,289.49K,6.33%
10/01/2001,280.5,293.70,295.90,275.50,447.68K,-4.59%
11/01/2001,274.9,280.50,282.50,271.90,396.69K,-2.00%
12/01/2001,279.0,275.20,281.40,271.70,321.84K,1.49%
01/01/2002,282.9,279.50,289.90,277.20,537.17K,1.40%
02/01/2002,297.1,283.00,309.40,282.40,562.30K,5.02%
03/01/2002,303.7,297.40,305.80,288.30,459.26K,2.22%
04/01/2002,309.2,304.00,312.90,298.00,534.75K,1.81%
05/01/2002,327.5,309.10,330.20,306.50,777.47K,5.92%
06/01/2002,313.9,327.50,331.50,310.50,637.19K,-4.15%
07/01/2002,305.2,314.50,326.10,300.50,707.86K,-2.77%
08/01/2002,313.9,305.20,319.70,300.30,528.50K,2.85%
09/01/2002,325.2,313.80,329.30,312.60,585.81K,3.60%
10/01/2002,318.4,324.30,325.50,309.10,645.19K,-2.09%
11/01/2002,316.8,318.30,325.40,316.50,558.88K,-0.50%
12/01/2002,348.2,319.10,355.70,316.60,704.46K,9.91%
01/01/2003,369.1,347.60,373.70,342.80,845.17K,6.00%
02/01/2003,350.3,368.90,390.80,342.40,844.34K,-5.09%
03/01/2003,336.9,349.80,358.80,325.80,757.50K,-3.83%
04/01/2003,339.4,335.70,340.40,319.80,615.89K,0.74%
05/01/2003,365.6,339.20,374.90,338.50,849.28K,7.72%
06/01/2003,346.3,364.00,370.50,343.30,758.31K,-5.28%
07/01/2003,355.8,346.40,367.70,340.60,832.40K,2.74%
08/01/2003,376.8,356.00,379.00,346.00,741.88K,5.90%
09/01/2003,386.1,376.80,394.80,370.70,911.76K,2.47%
10/01/2003,384.6,385.90,393.00,366.50,1.01M,-0.39%
11/01/2003,396.8,384.70,402.00,376.50,996.72K,3.17%
12/01/2003,416.1,398.90,418.40,397.80,710.09K,4.86%
01/01/2004,402.9,416.80,431.50,397.50,1.20M,-3.17%
02/01/2004,396.8,403.10,418.00,391.00,857.40K,-1.51%
03/01/2004,428.3,397.50,428.50,388.20,1.22M,7.94%
04/01/2004,387.5,427.50,433.00,377.00,1.12M,-9.53%
05/01/2004,394.9,388.90,398.00,371.30,986.07K,1.91%
06/01/2004,393.0,396.00,405.60,382.50,865.19K,-0.48%
07/01/2004,393.7,393.30,409.60,385.50,1.09M,0.18%
08/01/2004,412.4,395.00,416.80,391.20,878.66K,4.75%
09/01/2004,420.4,412.10,420.80,396.90,881.01K,1.94%
10/01/2004,429.4,420.40,432.00,410.50,1.01M,2.14%
11/01/2004,453.2,430.50,457.00,418.00,1.37M,5.54%
12/01/2004,438.4,453.40,458.70,432.90,981.97K,-3.27%
01/01/2005,424.1,438.90,438.90,417.20,1.15M,-3.26%
02/01/2005,437.6,424.30,439.30,411.50,825.16K,3.18%
03/01/2005,431.1,437.50,448.00,423.40,1.18M,-1.49%
04/01/2005,436.1,431.10,439.10,423.50,818.81K,1.16%
05/01/2005,418.9,435.70,436.00,415.80,1.09M,-3.94%
06/01/2005,437.1,418.70,445.40,416.70,1.17M,4.34%
07/01/2005,435.8,436.50,438.20,418.20,1.08M,-0.30%
08/01/2005,438.1,435.40,455.30,433.50,1.16M,0.53%
09/01/2005,472.3,438.40,479.00,438.30,1.29M,7.81%
10/01/2005,466.9,471.50,483.10,462.00,1.10M,-1.14%
11/01/2005,498.7,466.50,506.70,456.10,1.36M,6.81%
12/01/2005,519.7,498.00,544.50,492.20,1.06M,4.21%
01/01/2006,575.5,519.90,577.30,517.60,1.51M,10.74%
02/01/2006,563.9,575.10,579.50,537.80,1.08M,-2.02%
03/01/2006,586.7,563.10,594.60,534.50,1.56M,4.04%
04/01/2006,654.5,587.80,658.20,586.30,1.16M,11.56%
05/01/2006,649.0,656.80,732.00,636.50,1.65M,-0.84%
06/01/2006,616.0,649.80,651.30,546.40,1.05M,-5.08%
07/01/2006,646.8,627.00,677.50,602.50,998.44K,5.00%
08/01/2006,634.2,646.50,668.20,615.50,740.73K,-1.95%
09/01/2006,604.2,633.60,648.70,576.50,791.58K,-4.73%
10/01/2006,606.8,606.20,613.20,563.00,739.09K,0.43%
11/01/2006,652.9,607.50,654.50,607.50,921.26K,7.60%
12/01/2006,638.0,655.00,655.80,615.00,758.89K,-2.28%
01/01/2007,657.9,639.20,660.70,603.00,1.48M,3.12%
02/01/2007,672.5,658.50,692.50,648.00,1.41M,2.22%
03/01/2007,669.0,672.80,680.20,634.50,1.62M,-0.52%
04/01/2007,683.5,671.10,698.00,661.70,1.30M,2.17%
05/01/2007,666.7,681.20,693.30,651.50,1.75M,-2.46%
06/01/2007,650.9,666.50,679.50,641.10,1.40M,-2.37%
07/01/2007,679.3,651.60,688.40,646.70,1.74M,4.36%
08/01/2007,681.9,675.30,688.10,651.60,1.52M,0.38%
09/01/2007,750.0,681.90,752.80,680.10,1.88M,9.99%
10/01/2007,795.3,750.60,800.80,726.30,2.34M,6.04%
11/01/2007,789.1,799.40,848.00,773.40,3.11M,-0.78%
12/01/2007,838.0,789.40,847.40,783.00,1.53M,6.20%
01/01/2008,928.0,837.50,942.20,837.50,3.12M,10.74%
02/01/2008,975.0,929.80,978.50,888.40,2.41M,5.06%
03/01/2008,921.5,975.60,"1,033.90",904.70,3.19M,-5.49%
04/01/2008,865.1,920.50,956.20,864.10,2.56M,-6.12%
05/01/2008,891.5,879.00,935.40,846.40,2.77M,3.05%
06/01/2008,928.3,891.30,937.70,859.60,2.47M,4.13%
07/01/2008,922.7,928.00,989.60,902.70,3.53M,-0.60%
08/01/2008,835.2,922.90,926.00,777.70,2.77M,-9.48%
09/01/2008,880.8,842.20,932.00,739.80,3.80M,5.46%
10/01/2008,718.2,876.90,936.30,681.00,2.85M,-18.46%
11/01/2008,819.0,727.00,833.50,698.20,2.25M,14.04%
12/01/2008,884.3,819.00,892.00,741.20,1.77M,7.97%
01/01/2009,928.4,883.00,931.30,801.50,2.42M,4.99%
02/01/2009,942.5,924.60,"1,007.70",890.30,2.25M,1.52%
03/01/2009,925.0,940.30,967.80,882.70,2.64M,-1.86%
04/01/2009,891.2,920.00,935.80,865.00,1.65M,-3.65%
05/01/2009,980.3,888.90,982.00,880.50,2.05M,10.00%
06/01/2009,927.4,981.00,992.10,913.20,2.09M,-5.40%
07/01/2009,955.8,926.10,960.00,904.80,2.11M,3.06%
08/01/2009,953.5,954.50,974.30,931.30,1.62M,-0.24%
09/01/2009,1009.3,952.00,"1,025.80",947.50,2.60M,5.85%
10/01/2009,1040.4,"1,008.30","1,072.00",987.00,3.02M,3.08%
11/01/2009,1182.3,"1,043.40","1,196.80","1,042.20",3.58M,13.64%
12/01/2009,1096.2,"1,181.40","1,227.50","1,075.20",3.77M,-7.28%
01/01/2010,1083.0,1117.7,1161.2,1073.2,,
02/01/2010,1118.3,1081.0,1127.4,1045.2,,
03/01/2010,1113.3,1119.3,1145.0,1085.5,,
04/01/2010,1180.1,1125.1,1181.3,1111.3,,
05/01/2010,1212.2,1178.6,1246.5,1159.2,,
06/01/2010,1245.5,1224.8,1264.8,1196.9,,
07/01/2010,1181.7,1206.3,1242.4,1158.0,,
09/01/2010,1307.8,1246.3,1315.2,1240.0,,
10/01/2010,1357.1,1309.0,1383.9,1309.0,,
11/01/2010,1385.0,1360.3,1423.2,1327.5,,
12/01/2010,1421.1,1386.8,1431.1,1362.5,,
01/01/2011,1333.8,1415.6,1423.9,1307.7,,
02/01/2011,1409.3,1333.1,1415.7,1324.9,,
03/01/2011,1438.9,1415.3,1446.9,1385.5,,
04/01/2011,1556.0,1433.4,1568.7,1413.0,,
06/01/2011,1502.3,1535.7,1558.5,1490.7,,
07/01/2011,1628.3,1502.2,1634.9,1480.0,,
08/01/2011,1828.5,1623.0,1909.3,1607.0,,
09/01/2011,1620.4,1825.8,1911.6,1562.4,,
10/01/2011,1724.2,1627.8,1752.0,1596.6,,
11/01/2011,1745.5,1706.7,1798.4,1674.4,,
12/01/2011,1565.8,1747.0,1762.9,1525.0,,
02/01/2012,1709.9,1738.2,1790.4,1669.0,,
03/01/2012,1669.3,1698.6,1724.6,1633.8,,
05/01/2012,1562.6,1665.0,1670.5,1528.5,,
06/01/2012,1603.5,1560.0,1639.7,1545.5,,
08/01/2012,1684.6,1613.4,1690.0,1583.1,,
09/01/2012,1771.1,1689.1,1785.3,1687.7,,
10/01/2012,1717.5,1766.0,1794.8,1698.6,,
11/01/2012,1710.9,1722.3,1751.3,1674.1,,
12/01/2012,1674.8,1714.9,1722.3,1635.8,,
01/01/2013,1660.6,1672.8,1694.7,1625.7,,
02/01/2013,1577.7,1663.9,1683.4,1555.2,,
03/01/2013,1594.8,1579.6,1613.8,1561.8,,
04/01/2013,1472.2,1596.8,1602.6,1323.0,,
05/01/2013,1392.6,1475.8,1487.1,1342.9,,
06/01/2013,1223.8,1389.1,1422.7,1183.2,,
07/01/2013,1312.4,1234.7,1343.5,1208.9,,
08/01/2013,1396.1,1323.0,1428.0,1274.0,,
10/01/2013,1323.6,1328.0,1359.7,1254.1,,
11/01/2013,1250.6,1325.7,1325.7,1229.0,,
01/01/2014,1240.1,1204.3,1269.4,1204.3,,
02/01/2014,1321.4,1242.4,1343.9,1241.2,,
03/01/2014,1283.4,1335.9,1391.4,1282.4,,
04/01/2014,1295.6,1285.1,1330.0,1272.4,,
05/01/2014,1245.6,1288.7,1314.2,1241.8,,
07/01/2014,1281.3,1326.7,1343.7,1280.6,,
08/01/2014,1285.8,1284.1,1321.4,1272.0,,
09/01/2014,1210.5,1284.5,1286.4,1204.0,,
10/01/2014,1171.1,1207.7,1251.0,1161.4,,
11/01/2014,1175.2,1166.4,1202.4,1133.0,,
12/01/2014,1183.9,1160.0,1238.0,1141.7,,
01/01/2015,1278.5,1184.0,1303.5,1169.5,,
04/01/2015,1182.4,1182.9,1224.2,1174.6,,
05/01/2015,1189.4,1178.1,1228.1,1170.0,,
06/01/2015,1171.5,1190.6,1204.0,1164.0,,
07/01/2015,1094.9,1173.1,1173.1,1078.6,,
08/01/2015,1131.6,1095.5,1169.0,1080.5,,
09/01/2015,1115.5,1133.5,1155.9,1098.2,,
10/01/2015,1141.5,1115.2,1189.0,1105.8,,
12/01/2015,1060.3,1064.6,1098.8,1046.2,,
01/01/2016,1116.4,1063.4,1125.7,1063.2,,
02/01/2016,1233.9,1116.7,1260.8,1115.3,,
03/01/2016,1234.2,1240.5,1280.7,1210.0,,
04/01/2016,1289.2,1232.3,1295.5,1209.2,,
06/01/2016,1318.4,1215.7,1355.6,1205.4,,
07/01/2016,1349.0,1324.5,1374.9,1312.8,,
08/01/2016,1306.9,1348.8,1366.0,1306.3,,
09/01/2016,1313.3,1305.3,1350.5,1301.5,,
10/01/2016,1271.5,1313.5,1316.8,1248.9,,
11/01/2016,1170.8,1279.3,1318.6,1167.9,,
12/01/2016,1150.0,1172.7,1186.7,1123.9,,
02/01/2017,1252.6,1211.9,1263.1,1197.9,,
03/01/2017,1247.3,1247.8,1257.7,1196.2,,
04/01/2017,1266.1,1247.5,1294.8,1243.0,,
05/01/2017,1272.0,1268.7,1273.2,1214.0,,
06/01/2017,1240.7,1268.0,1295.2,1238.1,,
07/01/2017,1266.6,1236.0,1270.8,1208.6,,
08/01/2017,1316.2,1268.4,1323.8,1251.4,,
09/01/2017,1281.5,1320.2,1355.8,1277.0,,
11/01/2017,1273.2,1272.2,1296.2,1265.3,,
12/01/2017,1306.3,1274.1,1306.3,1236.5,,
01/01/2018,1339.0,1302.3,1362.4,1302.3,,
